"map_version","operation","entity","support_allowed","actual_result","reject_codes","json_paths","affected_refs"
"hanwha_v01","road_widthM_design_assumption","R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HW_5ff95e3729",""
"hanwha_v01","road_heightLimitM_design_assumption","R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HW_5ff95e3729",""
"hanwha_v01","road_massLimitKg_design_assumption","R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HW_5ff95e3729",""
"hanwha_v01","road_speedLimitMps_design_assumption","R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HW_5ff95e3729",""
"hanwha_v01","staticMove_expected_blocked","facilities/F_HW001","false","rejected","STATIC_CONTENTS_REFERENCE","",""
"hanwha_v02","name_only_not_geometry","F_HW103","true","changed","","","facilities/F_HW103"
"hanwha_v02","node_position","N_HW_7874b56b34","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/nodes/N_HW_7874b56b34",""
"hanwha_v02","node_translate","nodes/N_HW_7874b56b34","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v02","road_translate","roads/R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v02","road_shapePoints","R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HW_5ff95e3729",""
"hanwha_v02","node_rotate","nodes/N_HW_7874b56b34","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v02","road_rotate","roads/R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v02","zone_boundary","Z_HW001","true","changed","","","zones/Z_HW001;sources/source_editor_geometry"
"hanwha_v02","road_direction","R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HW_5ff95e3729",""
"hanwha_v02","boundary","F_HW103","true","changed","","","facilities/F_HW103;sources/source_editor_geometry"
"hanwha_v02","boundary_translate","facilities/F_HW103","true","changed","","","facilities/F_HW103;sources/source_editor_geometry"
"hanwha_v02","boundary_rotate","facilities/F_HW103","true","changed","","","facilities/F_HW103;sources/source_editor_geometry"
"hanwha_v02","add_node","N_GA01_probe_add","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v02","copy_boundary","facilities/F_HW103","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v02","delete_boundary","facilities/F_HW103","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v02","split_road","R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hanwha_v02","no_op_boundary","F_HW103","true","no_op","","",""
"hanwha_v02","road_widthM_design_assumption","R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HW_5ff95e3729",""
"hanwha_v02","road_heightLimitM_design_assumption","R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HW_5ff95e3729",""
"hanwha_v02","road_massLimitKg_design_assumption","R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HW_5ff95e3729",""
"hanwha_v02","road_speedLimitMps_design_assumption","R_HW_5ff95e3729","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HW_5ff95e3729",""
"hanwha_v02","staticMove_expected_blocked","facilities/F_HW001","false","rejected","STATIC_CONTENTS_REFERENCE","",""
"hudong_v01","name_only_not_geometry","F_HD003","true","changed","","","facilities/F_HD003"
"hudong_v01","node_position","N_HD_efd47bf0d5","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/nodes/N_HD_efd47bf0d5",""
"hudong_v01","node_translate","nodes/N_HD_efd47bf0d5","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hudong_v01","road_translate","roads/R_HD_b5926a655c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hudong_v01","road_shapePoints","R_HD_b5926a655c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HD_b5926a655c",""
"hudong_v01","node_rotate","nodes/N_HD_efd47bf0d5","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hudong_v01","road_rotate","roads/R_HD_b5926a655c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hudong_v01","zone_boundary","Z_HD001","true","changed","","","zones/Z_HD001;sources/source_editor_geometry"
"hudong_v01","road_direction","R_HD_b5926a655c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HD_b5926a655c",""
"hudong_v01","boundary","F_HD003","true","changed","","","facilities/F_HD003;sources/source_editor_geometry"
"hudong_v01","boundary_translate","facilities/F_HD003","true","changed","","","facilities/F_HD003;sources/source_editor_geometry"
"hudong_v01","boundary_rotate","facilities/F_HD003","true","changed","","","facilities/F_HD003;sources/source_editor_geometry"
"hudong_v01","add_node","N_GA01_probe_add","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hudong_v01","copy_boundary","facilities/F_HD003","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hudong_v01","delete_boundary","facilities/F_HD003","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hudong_v01","split_road","R_HD_b5926a655c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hudong_v01","no_op_boundary","F_HD003","true","no_op","","",""
"hudong_v01","road_widthM_design_assumption","R_HD_b5926a655c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HD_b5926a655c",""
"hudong_v01","road_heightLimitM_design_assumption","R_HD_b5926a655c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HD_b5926a655c",""
"hudong_v01","road_massLimitKg_design_assumption","R_HD_b5926a655c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HD_b5926a655c",""
"hudong_v01","road_speedLimitMps_design_assumption","R_HD_b5926a655c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HD_b5926a655c",""
"hudong_v01","staticMove_expected_blocked","facilities/F_HD001","false","rejected","STATIC_CONTENTS_REFERENCE","",""
"hudong_v02","name_only_not_geometry","F_HD003","true","changed","","","facilities/F_HD003"
"hudong_v02","node_position","N_HD_efd47bf0d5","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/nodes/N_HD_efd47bf0d5",""
"hudong_v02","node_translate","nodes/N_HD_efd47bf0d5","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hudong_v02","road_translate","roads/R_HD_b5926a655c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hudong_v02","road_shapePoints","R_HD_b5926a655c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HD_b5926a655c",""
"hudong_v02","node_rotate","nodes/N_HD_efd47bf0d5","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hudong_v02","road_rotate","roads/R_HD_b5926a655c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","",""
"hudong_v02","zone_boundary","Z_HD001","true","changed","","","zones/Z_HD001;sources/source_editor_geometry"
"hudong_v02","road_direction","R_HD_b5926a655c","false","rejected","OPERATION_DEPENDENCIES_UNSUPPORTED","/roads/R_HD_b5926a655c",""
"hudong_v02","boundary","F_HD003","true","changed","","","facilities/F_HD003;sources/source_editor_geometry"
